a  Lycodapus_extensus
a  Mogurnda_malsmithi  Allen_and_Jebb_1993
a  Mogurnda_clivicola  Allen_and_Jenkins_1999
a  Mogurnda_kaifayama  Allen_and_Jenkins_1999
a  Mogurnda_mbuta  Allen_and_Jenkins_1999
a  Mogurnda_oligolepis  Allen_and_Jenkins_1999
a  Mogurnda_thermophila  Allen_and_Jenkins_1999
a  Glossolepis_wanamensis  Allen_and_Kailola_1979
a  Assessor_flavissimus  Allen_and_Kuiter_1976
a  Assessor_randalli  Allen_and_Kuiter_1976
a  Hoplolatilus_luteus  Allen_and_Kuiter_1989
a  Rhabdamia_spilota  Allen_and_Kuiter_1994
a  Bhanotia_pauciradiata  Allen_and_Kuiter_1995
a  Cirrhilabrus_aurantidorsalis  Allen_and_Kuiter_1999
a  Cirrhilabrus_tonozukai  Allen_and_Kuiter_1999
a  Pomachromis_guamensis  Allen_and_Larson_1975
a  Parma_bicolor  Allen_and_Larson_1979
a  Chrysiptera_springeri  Allen_and_Lubbock_1976
a  Amphiprion_omanensis  Allen_and_Mee_in_Allen_1991
a  Pingalla_midgleyi  Allen_and_Merrick_1984
a  Pseudomugil_paludicola  Allen_and_Moore_1981
a  Apogon_fuscomaculatus  Allen_and_Morrison_1996
a  Hypoplectrodes_wilsoni  Allen_and_Moyer_1980
a  Asterropteryx_bipunctata  Allen_and_Munday_1995
a  Asterropteryx_striata  Allen_and_Munday_1995
a  Trimma_rubromaculatus  Allen_and_Munday_1995
a  Vanderhorstia_flavilineata  Allen_and_Munday_1995
a  Chrysiptera_kuiteri  Allen_and_Rajasuriya_1995
a  Chrysiptera_galba  Allen_and_Randall_1974
a  Chrysiptera_tricincta  Allen_and_Randall_1974
a  Plectroglyphidodon_flaviventris  Allen_and_Randall_1974
a  Pomacentrus_fuscidorsalis  Allen_and_Randall_1974
a  Stegastes_emeryi  Allen_and_Randall_1974
a  Amblyglyphidodon_flavilatus  Allen_and_Randall_1980
a  Chromis_trialpha  Allen_and_Randall_1980
a  Neopomacentrus_xanthurus  Allen_and_Randall_1980
a  Pomacentrus_aquilus  Allen_and_Randall_1980
a  Pomacentrus_leptus  Allen_and_Randall_1980
a  Chromis_abyssicola  Allen_and_Randall_1985
a  Steeneichthys_plesiopsus  Allen_and_Randall_1985
a  Hypoplectrodes_cardinalis  Allen_and_Randall_1990
a  Apogon_capricornis  Allen_and_Randall_1993
a  Apogon_flavus  Allen_and_Randall_1993
a  Cirrhilabrus_condei  Allen_and_Randall_1996
a  Cirrhilabrus_pylei  Allen_and_Randall_1996
a  Cirrhilabrus_walindi  Allen_and_Randall_1996
a  Amblyglyphidodon_indicus  Allen_and_Randall_2002
a  Amblyglyphidodon_melanopterus  Allen_and_Randall_2002
a  Choerodon_gomoni  Allen_and_Randall_2002
a  Chilatherina_pricei  Allen_and_Renyaan_1996
a  Melanotaenia_kamaka  Allen_and_Renyaan_1996
a  Melanotaenia_lakamora  Allen_and_Renyaan_1996
a  Melanotaenia_pierucciae  Allen_and_Renyaan_1996
a  Mogurnda_aiwasoensis  Allen_and_Renyaan_1996
